Number,Count
CC110108004400,415
CC110108004000,406
CC110106001800,404
CC110105002300,399
CC110108002800,392
CC110208003600,390
CC110108004500,389
CC110108002300,389
CC110209010200,389
CC110104002400,386
CC110215004750,385
CC110106004900,384
CC110108004700,384
CC110208002020,383
CC110208001800,383
CC110108002850,383
CC110108003550,382
CC110212005800,382
CC110210005000,380
CC110105002750,380
CC110208001620,380
CC110220003600,380
CC110208001400,379
CC110203504500,378
CC110215007500,378
CC110209003250,378
CC110208001900,377
CC110108003400,377
CC110208002500,377
CC110209004150,376
CC110203502850,376
CC110108002250,376
CC110108003950,376
CC110230006100,376
CC110207002100,375
CC110210004100,375
CC110215003050,374
CC110209005800,374
CC110208004000,374
CC110208003750,374
CC110208004700,374
CC110208002900,374
CC11024000410M,374
CC110104004050,374
CC110220004600,374
CC110208002100,374
CC110216003060,374
CC110108004300,373
CC110215005100,373
CC110104004950,373
CC110108003750,373
CC110105003100,373
CC110215005000,372
CC110215002700,372
CC110108008350,372
CC110250009300,372
CC110220005600,372
CC110108003600,372
CC110108004800,372
CC110105005300,372
CC110210003000,372
CC110210002800,372
CC110108002650,372
CC110108003300,372
CC110210003600,371
CC110208001500,371
CC110109002200,371
CC110225006400,371
CC110220018000,371
CC110207003550,371
CC110210009800,371
CC110108002350,371
CC110108008000,371
CC110207005500,371
CC110207001420,371
CC110106002300,371
CC110216003070,371
CC110208004800,371
CC110215003750,371
CC110105004700,371
CC110208002650,371
CC110110001480,371
CC110105003400,371
CC110215003500,370
CC110108003150,370
CC110210006700,370
CC110105003000,370
CC110108002000,370
CC110108004200,370
CC110106002150,370
CC110208004500,370
CC110215006300,370
CC110240008150,370
CC110105001800,370
CC110105003800,370
CC110210002900,370
CC110210004500,369
CC110108001900,369
CC110230006750,369
CC110108002900,369
CC110108002400,369
CC110235004200,369
CC110108002600,369
CC110108002200,369
CC110208003500,369
CC110208004200,369
CC110108001500,369
CC110210004450,369
CC110105001200,369
CC110108006000,369
CC110212002060,369
CC110215003800,369
CC110208002950,369
CC110212003900,369
CC110210002450,369
CC110209002900,369
CC110109002900,369
CC110208005200,369
CC110208003300,368
CC110109002300,368
CC110208002800,368
CC110208003700,368
CC110203503250,368
CC110208002850,368
CC110208001420,368
CC110209004050,368
CC110208002300,368
CC110208002400,368
CC110209002400,368
CC110208005150,368
CC110209003050,368
CC110108001650,368
CC110104002700,368
CC110240005900,368
CC110215002600,368
CC110104004300,368
CC110106002900,368
CC110215005750,368
CC110225003800,368
CC110105001350,368
CC110106001900,368
CC110230005800,368
CC110106003500,368
CC110210005600,368
CC110106001500,368
CC110210003200,368
CC110105004900,368
CC110108002750,368
CC110016008400,368
CC110108003200,368
CC110215003000,368
CC110215008000,367
CC110215007100,367
CC110215006900,367
CC110220002390,367
CC110208003400,367
CC110220003100,367
CC110220003800,367
CC110210002000,367
CC110220004250,367
CC110220006200,367
CC110220007450,367
CC110225003600,367
CC110225006900,367
CC110230004400,367
CC110230005250,367
CC110207008200,367
CC110230007800,367
CC110207008000,367
CC110240008100,367
CC110250006500,367
CC110207002450,367
CC110207002150,367
CC110215006000,367
CC110208004250,367
CC110215005150,367
CC110208004150,367
CC110210002500,367
CC110210002600,367
CC110207001650,367
CC110210003900,367
CC110210001850,367
CC110210004600,367
CC110210004800,367
CC110209004300,367
CC110210006200,367
CC110212002600,367
CC110212003400,367
CC110212003800,367
CC110212004300,367
CC110212006000,367
CC110208008500,367
CC110208008450,367
CC110208006100,367
CC110212006400,367
CC110215003400,367
CC110215003700,367
CC110215004400,367
CC110215004550,367
CC110215004650,367
CC110208004350,367
CC110208004300,367
CC110210002200,367
CC110215004900,367
CC110016004950,367
CC110208004100,367
CC110105004400,367
CC110025005650,367
CC110108001800,367
CC110120002200,367
CC110108002100,367
CC110105001100,367
CC110110003900,367
CC110110003000,367
CC110106003800,367
CC110108003000,367
CC110110002050,367
CC110108004900,367
CC110109001550,367
CC110108005150,367
CC110203502200,367
CC110203502300,367
CC110106002800,367
CC110104003400,367
CC110105003700,367
CC110105002600,367
CC110105002400,367
CC110105004500,367
CC110106001400,367
CC110106001450,367
CC110108007200,367
CC110106003650,366
CC110215002300,366
CC110215005400,366
CC110106004200,366
CC110106004050,366
CC110215002900,366
CC110106002500,366
CC110215004000,366
CC110215004950,366
CC110106003600,366
CC110106003400,366
CC110106001600,366
CC110215003600,366
CC110106002200,366
CC110106003100,366
CC110215001480,366
CC110215004700,366
CC110106002600,366
CC110106002250,366
CC110106002400,366
CC110215003300,366
CC110207001600,366
CC110214006050,366
CC110106004700,366
CC110106005300,366
CC110212003600,366
CC110212003550,366
CC110106005500,366
CC110212003350,366
CC110212003300,366
CC110212003100,366
CC110212002900,366
CC110106005700,366
CC110212002500,366
CC110212002400,366
CC110212002200,366
CC110106005750,366
CC110212002000,366
CC110212001400,366
CC110210013350,366
CC110210011500,366
CC110106005200,366
CC110212004900,366
CC110215005650,366
CC110212005000,366
CC110214003850,366
CC110212012150,366
CC110212012100,366
CC110212011500,366
CC110212010300,366
CC110212010200,366
CC110212009500,366
CC110212009400,366
CC110212007900,366
CC110212007800,366
CC110212006800,366
CC110106004300,366
CC110212006200,366
CC110106004400,366
CC110106004500,366
CC110212005600,366
CC110212005300,366
CC110214004850,366
CC110105002150,366
CC110215005800,366
CC110104002850,366
CC110235005800,366
CC110030003000,366
CC110230012400,366
CC110040007000,366
CC110103504500,366
CC110104001450,366
CC110104001650,366
CC110230005300,366
CC110104001750,366
CC110104002000,366
CC110104002100,366
CC110104002250,366
CC110225005300,366
CC110104002350,366
CC110104002500,366
CC110235006800,366
CC110240004100,366
CC110025009200,366
CC110240009400,366
CC110250009800,366
CC110020003300,366
CC110250007700,366
CC110020004250,366
CC110250006300,366
CC110250005700,366
CC110240008400,366
CC110240005600,366
CC110240008300,366
CC110020005500,366
CC110025005100,366
CC110240007100,366
CC110240007000,366
CC110240006400,366
CC110104002550,366
CC110220007200,366
CC110105002200,366
CC110220007100,366
CC110216013000,366
CC110216010750,366
CC110216010400,366
CC110216009600,366
CC110216004950,366
CC110216003750,366
CC110216003500,366
CC110105001550,366
CC110105001650,366
CC110216002450,366
CC110216001900,366
CC110215008500,366
CC110105002000,366
CC110215007600,366
CC110210011200,366
CC110220002250,366
CC110220002380,366
CC110105001500,366
CC110220005000,366
CC110104003250,366
CC110220006050,366
CC110220005800,366
CC110220005670,366
CC110220005250,366
CC110220005050,366
CC110104003500,366
CC110220002600,366
CC110220004300,366
CC110104004100,366
CC110105001400,366
CC110220003300,366
CC110105001450,366
CC110220003040,366
CC110210011250,366
CC110210009150,366
CC110210010800,366
CC110208004600,366
CC110110002450,366
CC110110002500,366
CC110110004100,366
CC110016005100,366
CC110110004450,366
CC110208003800,366
CC110110005000,366
CC110110005750,366
CC110110006200,366
CC110115001500,366
CC110115003000,366
CC110115003050,366
CC110115003700,366
CC110115005100,366
CC110115005750,366
CC110110002400,366
CC110208004750,366
CC110208007700,366
CC110110001800,366
CC110208007250,366
CC110208007100,366
CC110208007000,366
CC110208006500,366
CC110208006250,366
CC110108007800,366
CC110208006050,366
CC110208006000,366
CC110208005900,366
CC110208005700,366
CC110208005600,366
CC110208005500,366
CC110208005400,366
CC110109005300,366
CC110208005000,366
CC110208002750,366
CC110208002700,366
CC110120002390,366
CC110208002600,366
CC110207007100,366
CC110207006950,366
CC110207005700,366
CC110207005550,366
CC110205001800,366
CC110207005200,366
CC110207004500,366
CC110207004300,366
CC110207003800,366
CC110205003100,366
CC110205003700,366
CC110205004700,366
CC110206001800,366
CC110207002000,366
CC110207001900,366
CC110207007650,366
CC110203504900,366
CC110203501950,366
CC110203002150,366
CC110208002550,366
CC110200018000,366
CC110203001200,366
CC110203001500,366
CC110208002250,366
CC110208002150,366
CC110203002200,366
CC110203013200,366
CC110208002000,366
CC110203002700,366
CC110203003750,366
CC110208001700,366
CC110203004300,366
CC110208001600,366
CC110208007400,366
CC110208007800,366
CC110210010400,366
CC110210007100,366
CC110106006000,366
CC110210006500,366
CC110210006450,366
CC110106007000,366
CC110210005750,366
CC110106007500,366
CC110210005300,366
CC110210005250,366
CC110210005100,366
CC110106009700,366
CC110210004850,366
CC110107004500,366
CC110210004750,366
CC110210004650,366
CC110108001250,366
CC110210006800,366
CC110210007200,366
CC110208007900,366
CC110210007300,366
CC110210009900,366
CC110106005800,366
CC110210009500,366
CC110210009200,366
CC110207001850,366
CC110210009100,366
CC110210009050,366
CC110210008800,366
CC110210008750,366
CC110210008300,366
CC110210008250,366
CC110210008200,366
CC110210008100,366
CC110210007900,366
CC110210007500,366
CC110108001400,366
CC110108001420,366
CC110210004200,366
CC110210004150,366
CC110108006600,366
CC110209003750,366
CC110209003500,366
CC110108006750,366
CC110108006800,366
CC110108007000,366
CC110209001550,366
CC110208011600,366
CC110208009750,366
CC110208009000,366
CC110108007250,366
CC110108007400,366
CC110208008200,366
CC110208008100,366
CC110208008000,366
CC110108005900,366
CC110108005850,366
CC110108005400,366
CC110108002150,366
CC110108001600,366
CC110108001620,366
CC110210003800,366
CC110210003700,366
CC110108001950,366
CC110108002020,366
CC110108002500,366
CC110210001450,366
CC110108003350,366
CC110210002400,366
CC110108003450,366
CC110108003500,366
CC110210001800,366
CC110210001480,366
CC110250010300,366
