,ID,Amount
0,CC1101080,1034
1,CC1102080,838
2,CC1102150,586
3,CC1102100,581
4,CC1101050,545
5,CC1101060,518
6,CC1102090,458
7,CC1102200,439
8,CC1101040,435
9,CC1102120,430
10,CC1102070,425
11,CC1102035,402
12,CC1102300,390
13,CC1102160,386
14,CC1102400,385
15,CC1101090,384
16,CC1102500,380
17,CC1101100,380
18,CC1102250,377
19,CC1100160,370
20,CC1101150,369
21,CC1102350,369
22,CC1100250,368
23,CC1100200,367
24,CC1101200,367
25,CC1102030,367
26,CC1102140,367
27,CC1102050,366
28,CC1101070,366
29,CC1101035,366
30,CC1100400,366
31,CC1102000,366
32,CC1100300,366
33,CC1102060,366
